Site,Quadrat,Species,Nest
Upland White oak,1,Potentilla simplex,1
Upland White oak,1,Rubus odoratus,1
Upland White oak,1,Solidago canadensis,1
Upland White oak,1,Parthenocissus quinquefolia,2
Upland White oak,1,Sonchus asper,2
Upland White oak,1,Polemonium reptans,3
Upland White oak,1,Persicaria pensylvanica,3
Upland White oak,1,Circaea canadensis,4
Upland White oak,1,Trillium grandiflorum,4
Upland White oak,1,Taraxacum officinale,5
Upland White oak,1,Fragaria virginiana,5
Upland White oak,1,Helianthus divaricatus,5
Upland White oak,1,Symphytotrichum urophyllum,5
Upland White oak,2,Maianthemum racemosum,1
Upland White oak,2,Phlox divaricata,1
Upland White oak,2,Polemonium reptans,1
Upland White oak,2,Hydrophyllum virginianum,1
Upland White oak,2,Polemonium reptans,1
Upland White oak,2,Circaea canadensis,2
Upland White oak,2,Bromus pubescens,1
Upland White oak,2,Parthenocissus quinquefolia,3
Upland White oak,2,Solidago canadensis,4
Upland White oak,2,Trillium grandiflorum,4
Upland White oak,2,Viola sororia,4
Upland White oak,2,Symphyotrichum shortii,4
Upland White oak,2,Sonchus asper,4
Upland White oak,2,Enemion biternatum,4
Upland White oak,2,Jeffersonia diphylla,5
Upland White oak,2,Eutrochium purpureum,5
Upland White oak,2,Oxalis stricta,5
Upland White oak,3,Bromus pubescens,1
Upland White oak,3,Parthenocissus quinquefolia,1
Upland White oak,3,Circaea canadensis,1
Upland White oak,3,Geranium maculatum,1
Upland White oak,3,Oxalis stricta,1
Upland White oak,3,Hydrophyllum virginianum,1
Upland White oak,3,Enemion biternatum,2
Upland White oak,3,Viola sororia,2
Upland White oak,3,Jeffersonia diphylla,2
Upland White oak,3,Trillium grandiflorum,4
Upland White oak,3,Sonchus asper,4
Upland White oak,3,Agrimonia gryposepala,5
Upland White oak,3,Persicaria pensylvanica,5
Upland White oak,3,Caulophyllum thalictroides,3
Upland White oak,3,Lactuca biennis,5
Upland White oak,4,Circaea canadensis,1
Upland White oak,4,Parthenocissus quinquefolia,1
Upland White oak,4,Hydrophyllum virginianum,1
Upland White oak,4,Solidago canadensis,2
Upland White oak,4,Allium canadense,3
Upland White oak,4,Geranium maculatum,3
Upland White oak,4,Bromus pubescens,4
Upland White oak,4,Carex gracillima,5
Upland White oak,4,Geum canadense,4
Upland White oak,4,Polemonium reptans,4
Upland White oak,4,Persicaria pensylvanica,4
Upland White oak,4,Lactuca serriola,5
Upland White oak,4,Oxalis stricta,5
Upland White oak,4,Ranunculus hispidus,5
Upland White oak,5,Mertensia virginica,1
Upland White oak,5,Viola sororia,1
Upland White oak,5,Geranium maculatum,1
Upland White oak,5,Maianthemum racemosum,2
Upland White oak,5,Circaea canadensis,2
Upland White oak,5,Rubus occidentalis,2
Upland White oak,5,Solidago canadensis,4
Upland White oak,5,Symphyotrichum shortii,5
Upland White oak,5,Trillium grandiflorum,2
Upland White oak,5,Hydrophyllum virginianum,2
Upland White oak,5,Rubus odoratus,5
Swamp White Oak,6,Persicaria pensylvanica,1
Swamp White Oak,6,Taraxacum officinale,1
Swamp White Oak,6,Circaea canadensis,1
Swamp White Oak,6,Geum canadense,1
Swamp White Oak,6,Fragaria virginiana,2
Swamp White Oak,6,Solidago canadensis,2
Swamp White Oak,6,Viola sororia,3
Swamp White Oak,6,Impatiens capensis,4
Swamp White Oak,6,Toxicodendron radicans,4
Swamp White Oak,6,Taenidia integerrima,5
Swamp White Oak,7,Circaea canadensis,1
Swamp White Oak,7,Persicaria pensylvanica,1
Swamp White Oak,7,Fragaria virginiana,1
Swamp White Oak,7,Taraxacum officinale,1
Swamp White Oak,7,Geum canadensis,1
Swamp White Oak,7,Taenidia integerrima,5
Swamp White Oak,7,Oxalis stricta,2
Swamp White Oak,7,Sonchus asper,3
Swamp White Oak,7,Solidago canadensis,3
Swamp White Oak,7,Populus deltoides,3
Swamp White Oak,7,Toxicodendron radicans,4
Swamp White Oak,7,Trillium grandiflorum,5
Swamp White Oak,8,Potentilla simplex,1
Swamp White Oak,8,Taraxacum officinale,1
Swamp White Oak,8,Geum canadensis,2
Swamp White Oak,8,Solidago canadensis,2
Swamp White Oak,8,Persicaria pensylvanica,2
Swamp White Oak,8,Impatiens capensis,2
Swamp White Oak,8,Geranium maculatum,3
Swamp White Oak,8,Toxicodendron radicans,3
Swamp White Oak,8,Geum vernuum,4
Swamp White Oak,8,Agrimonia gryposepala,5
Swamp White Oak,9,Agrimonia gryposepala,1
Swamp White Oak,9,Taraxacum officinale,1
Swamp White Oak,9,Fragaria virginiana,1
Swamp White Oak,9,Persicaria pensylvanica,1
Swamp White Oak,9,Geranium maculatum,1
Swamp White Oak,9,Solidago canadensis,2
Swamp White Oak,9,Circaea canadensis,3
Swamp White Oak,9,Potentilla simplex,3
Swamp White Oak,9,Impatiens capensis,3
Swamp White Oak,9,Oxypolis rigidior,3
Swamp White Oak,9,Allium canadense,4
Swamp White Oak,9,Quercus bicolor,4
Swamp White Oak,9,Geum canadense,4
Swamp White Oak,9,Toxicodendron radicans,5
Swamp White Oak,9,Solidago gigantea,3
