Illinois
1997
"Taft, J. B., Wilhelm, G. S., Ladd, D. M., & Masters, L. A. 1997. Floristic quality assessment for vegetation in Illinois, a method for assessing vegetation integrity. Westville: Illinois Native Plant Society."
"Illinois  , 1997"

"Total Species:",3040
"Native Species:",2084
"Non-native Species:",956
"Total Mean C:",4.4
"Native Mean C:",6.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Abelmoschus esculentus",,ABEESC,non-native,0,5,forb,annual,okra
"Abutilon theophrasti",,ABUTHE,non-native,0,4,forb,annual,buttonweed
"Acalypha deamii",,ACADEA,native,8,5,forb,annual,"large-seeded mercury"
"Acalypha gracilens",,ACAGRA,native,4,5,forb,annual,"slender three-seeded mercury"
"Acalypha ostryaefolia",,ACAOST,native,1,5,forb,annual,"three-seeded mercury"
"Acalypha rhomboidea",,ACARHO,native,0,3,forb,annual,"three-seeded mercury"
"Acalypha virginica",,ACAVIR,native,2,3,forb,annual,"three-seeded mercury"
"Acer floridanum",,ACEFLO,native,5,3,tree,perennial,"southern sugar maple"
"Acer ginnala",,ACEGIN,non-native,0,5,tree,perennial,"amur maple"
"Acer negundo",,ACENEG,native,1,-2,tree,perennial,boxelder
"Acer nigrum",,ACENIG,native,6,5,tree,perennial,"black maple"
"Acer platanoides",,ACEPLA,non-native,0,5,tree,perennial,"norway maple"
"Acer pseudoplatanus",,ACEPSE,non-native,0,5,tree,perennial,"sycamore maple"
"Acer rubrum",,ACERUR,native,5,0,tree,perennial,"red maple"
"Acer rubrum v. drummondii",,ACERUD,native,5,-5,tree,perennial,"drummonds red maple"
"Acer rubrum v. trilobum",,ACERUT,native,5,3,tree,perennial,"red maple"
"Acer saccharinum",,ACESAI,native,1,-3,tree,perennial,"silver maple"
"Acer saccharum",,ACESAU,native,4,3,tree,perennial,"sugar maple"
"Achillea millefolium",,ACHMIL,non-native,0,3,forb,perennial,"common milfoil"
"Acorus americanus",,ACOAME,native,4,-5,forb,perennial,"flag root"
"Actaea pachypoda",,ACTPAC,native,7,5,forb,perennial,dolls-eyes
"Actaea rubra",,ACTRUB,native,8,5,forb,perennial,"red baneberry"
"Adiantum pedatum",,ADIPED,native,6,1,fern,perennial,"maidenhair fern"
"Adlumia fungosa",,ADLFUN,non-native,0,5,forb,biennial,"allegheny vine"
"Adoxa moschatellina",,ADOMOS,native,10,0,forb,perennial,moschatel
"Aegopodium podagraria",,AEGPOD,non-native,0,0,forb,perennial,goutweed
"Aesculus glabra",,AESGLA,native,5,-1,tree,perennial,"ohio buckeye"
"Aesculus hippocastanum",,AESHIP,non-native,0,5,tree,perennial,horse-chestnut
"Aesculus pavia",,AESPAV,native,7,-1,tree,perennial,"red buckeye"
"Aethusa cynapium",,AETCYN,non-native,0,5,forb,annual,"fools parsley"
"Agalinis aspera",,AGAASP,native,10,5,forb,annual,"rough false foxglove"
"Agalinis besseyana",,AGABES,native,5,5,forb,annual,"slender false foxglove"
"Agalinis fasciculata",,AGAFAS,native,6,-3,forb,annual,"false foxglove"
"Agalinis gattingeri",,AGAGAT,native,10,5,forb,annual,"round-stemmed false foxglove"
"Agalinis paupercula",,AGAPAU,native,7,-5,forb,annual,"false foxglove"
"Agalinis purpurea",,AGAPUR,native,6,-3,forb,annual,"false foxglove"
"Agalinis skinneriana",,AGASKI,native,9,5,forb,annual,"pale false foxglove"
"Agalinis tenuifolia",,AGATEN,native,5,-3,forb,annual,"slender false foxglove"
"Agastache nepetoides",,AGANEP,native,4,3,forb,perennial,"yellow giant hyssop"
"Agastache scrophulariaefolia",,AGASCR,native,5,5,forb,perennial,"purple giant hyssop"
"Agrimonia gryposepala",,AGRGRY,native,3,2,forb,perennial,"tall agrimony"
"Agrimonia parviflora",,AGRPAR,native,5,-1,forb,perennial,"swamp agrimony"
"Agrimonia pubescens",,AGRPUB,native,4,5,forb,perennial,"soft agrimony"
"Agrimonia rostellata",,AGRROS,native,4,3,forb,perennial,"woodland agrimony"
"Agrohordeum macounii",,AGRMAC,non-native,0,5,grass,perennial,"macouns wild rye"
"Agropyron cristatum",,AGRCRI,non-native,0,5,grass,perennial,"crested wheat grass"
"Agropyron desertorum",,AGRDES,non-native,0,5,grass,perennial,"crested wheat grass"
"Agropyron repens",,AGRRER,non-native,0,3,grass,perennial,"quack grass"
"Agropyron repens v. aristatum",,AGRREA,non-native,0,3,grass,perennial,"quack grass"
"Agropyron smithii",,AGRSMS,non-native,0,4,grass,perennial,"colorado bluestem"
"Agropyron smithii v. molle",,AGRSMM,non-native,0,4,grass,perennial,"western wheat grass"
"Agropyron trachycaulum",,AGRTRT,native,8,0,grass,perennial,"bearded wheat grass"
"Agropyron trachycaulum v. unilaterale",,AGRTRU,native,8,3,grass,perennial,"bearded wheat grass"
"Agrostemma githago",,AGRGIT,non-native,0,5,forb,perennial,"corn cockle"
"Agrostis alba",,AGRALA,native,0,-3,grass,perennial,"red top"
"Agrostis alba v. palustris",,AGRALP,native,8,-3,grass,perennial,"creeping bent grass"
"Agrostis capillaris",,AGRCAP,non-native,0,-3,grass,perennial,"colonial bent grass"
"Agrostis elliottiana",,AGRELL,native,5,5,grass,annual,"awned bent grass"
"Agrostis hyemalis",,AGRHYE,native,2,1,grass,perennial,"hair grass"
"Agrostis perennans",,AGRPER,native,4,1,grass,perennial,"autumn bent grass"
"Agrostis scabra",,AGRSCA,native,5,0,grass,perennial,"rough bent grass"
"Ailanthus altissima",,AILALT,non-native,0,5,tree,perennial,tree-of-heaven
"Aira caryophyllaea",,AIRCAR,non-native,0,3,grass,annual,"silver hair grass"
"Ajuga genevensis",,AJUGEN,non-native,0,5,forb,perennial,"geneva bugleweed"
"Ajuga reptans",,AJUREP,non-native,0,5,forb,perennial,"carpet bugle"
"Albizia julibrissin",,ALBJUL,non-native,0,5,tree,perennial,mimosa
"Alcea rosea",,ALCROS,non-native,0,5,forb,perennial,hollyhock
"Aletris farinosa",,ALEFAR,native,9,0,forb,perennial,"colic root"
"Alisma plantago-aquatica v. americanum",,ALIPAM,native,2,-5,forb,perennial,"american water plantain"
"Alisma plantago-aquatica v. parviflorum",,ALIPPA,native,2,-5,forb,perennial,"common water plantain"
"Alliaria petiolata",,ALLPET,non-native,0,0,forb,biennial,"garlic mustard"
"Allium ampeloprasum v. atroviolaceum",,ALLAMP,non-native,0,5,forb,perennial,"wild onion"
"Allium burdickii",,ALLBUR,native,6,2,forb,perennial,"wild leek"
"Allium canadense",,ALLCAC,native,2,3,forb,perennial,"wild garlic"
"Allium canadense v. mobilense",,ALLCAM,native,3,5,forb,perennial,"glade onion"
"Allium cepa",,ALLCEP,non-native,0,5,forb,perennial,onion
"Allium cernuum",,ALLCER,native,7,5,forb,perennial,"nodding wild onion"
"Allium fistulosum",,ALLFIS,non-native,0,5,forb,perennial,"welch onion"
"Allium porrum",,ALLPOR,non-native,0,5,forb,perennial,leek
